iteration;COP;CWP;NPV;nWWcat;nWPr05;nWPr11;nWPr12;nWPr13;nWPr18;nWPr19;nWPr20;nWPr24;nWPr25;nWPr26;nWPr27;nWPr29;nWPr30;nWPr31;nWPr32;nWPr33;nWPr34;nWPr35;nWPr36;nWPr37;nWPr38;nWPr39;nWPr40;nWPr41;nWPr42;nWPr43;nWPr44;nWPr45;nWPr46;nWPr47;nWPr48;nWPr49;nWPr50;nWPr51;nWPr52;nWPr53;nWPr54;nWPr55;nWPr56;nWPr57;nWPr58;nWPr59;nWPr60;nWPr61;nWPr62;nWPr63;nWPr64;nWPr65;nWPr66;nWPr67;nWPr68;nWPr69;nWPr70;nWPr72;nWPr73;nWPr74;nWPr75;nWPr76;nWPr79;nWPr80;nWPr81;nWPr82;nWPr83;nWPr84;nWIn04;nWIn05;nWIn10;nWIn11;nWIn12;nWIn13;nWIn17;nWIn18;nWIn19;nWIn20;nWIn24;nWIn25;nWIn26;nWIn27;nWIn29;nWIn30;nWIn31;nWIn32;nWIn33;nWIn34;nWIn35;nWIn36;nWIn38;nWIn39;nWIn40;nWIn41;nWIn43;nWIn44;nWIn45;nWIn46;nWIn47;nWIn48;nWIn49;nWIn50;nWIn51;nWIn52;nWIn53;nWIn54;nWIn55;nWIn56;nWIn57;nWIn58;nWIn59;nWIn60;nWIn61;nWIn62;nWIn63;nWIn64;nWIn65;nWIn66;nWIn67;nWIn68;nWIn69;nWIn71;nWIn72;nWIn73;nWIn80;nWIn81;nWIn82;nWIn83;nWIn84;nWIn85
1;93512000.0;130396000.0;34851270.18;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1
1;93348800.0;130345000.0;-514222980.51;1;1;1;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;0
1;88146400.0;135073000.0;-58038892.07;0;1;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0
1;85617300.0;137476000.0;-77337816.67;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;1;0;1;1;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0
1;85422400.0;135817000.0;-530762929.17;1;0;0;0;1;1;1;1;0;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;1
1;87383600.0;136784000.0;-413355789.9;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;1;1;1;0
1;81873600.0;139901000.0;-1131146332.9;1;0;1;0;1;0;1;0;1;1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0
1;89246800.0;132976000.0;-824290174.26;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1
1;84462000.0;137551000.0;-1047239117.39;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;1
1;87212600.0;136367000.0;-454017832.56;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1
