run,iteration,mae,rmse
1,2,79596925.47703384,167990662.65310258
1,3,143630805.30105507,254993109.21316883
1,4,93731087.0777015,202465297.36583608
1,5,65265072.05333143,135540926.9860903
2,2,83437606.599268,169443594.7839399
2,3,131098629.95842218,255710376.15297478
2,4,100258372.9901861,209074151.77927995
2,5,79426117.98838007,150559840.3474854
3,2,83193832.8489563,166622157.99598768
3,3,134314859.04895252,264441702.19279668
3,4,101626463.23840559,210246923.5329916
3,5,67278747.29990615,137617868.85355368
4,2,78010415.98354119,163060145.3486942
4,3,136277309.98341107,255832484.8536163
4,4,97658155.6807034,207724780.2878288
4,5,67279477.1704657,138678138.57380718
5,2,82147943.3065359,164866344.18889728
5,3,135919433.18111292,259055410.5633892
5,4,94318824.83363383,203460680.3994212
5,5,67421507.41528243,137721269.27072203
6,2,78149821.93143548,166861320.0328361
6,3,140762315.67214552,263494605.32134497
6,4,99643302.050556,212010048.33027706
6,5,66353942.27467457,134791024.13456538
7,2,81994248.67097257,164728497.22891626
7,3,136973541.10657963,256711196.160197
7,4,97270680.0031954,206275699.49314633
7,5,68099705.45496497,138665985.1025351
8,2,78915853.2365279,160766894.55989218
8,3,136879984.76347607,260142757.10434622
8,4,98458257.65046264,210020485.392907
8,5,68197023.92816691,138092278.12437657
9,2,79091031.43831784,165125492.15212217
9,3,139578934.9898449,261656554.96473205
9,4,99754269.29092483,205752902.66439834
9,5,65901852.7239815,136493001.92103884
10,2,81492738.1043691,163660037.23535365
10,3,133855062.26206808,261153516.83695227
10,4,100838467.18522541,209638966.7963293
10,5,86257323.21616487,161468293.107904
