run,iteration,n_estimators,max_depth,max_samples,max_features,mae,rmse
1,2,10,,0.25,0.25,100937555.34510665,219663740.72329727
1,2,10,,0.25,0.5,82254415.8044,170471061.74577656
1,2,10,,0.25,0.75,113017826.30192001,246312555.84763262
1,2,10,,0.25,1.0,76724909.53637333,169042758.8504208
1,2,10,,0.5,0.25,87667946.32748002,197381891.28957197
1,2,10,,0.5,0.5,68266673.1258,168693955.9146612
1,2,10,,0.5,0.75,104989105.07290666,227540477.80200127
1,2,10,,0.5,1.0,107853765.27469333,221912439.37581357
1,2,10,,0.75,0.25,80999259.48248,193011678.15079543
1,2,10,,0.75,0.5,83765706.19117336,192193829.71192384
1,2,10,,0.75,0.75,74857696.11549331,176228786.87620422
1,2,10,,0.75,1.0,130081072.62053339,268831914.7489414
1,2,10,,1.0,0.25,86111450.93254666,183667159.76611283
1,2,10,,1.0,0.5,75399246.99872002,185649743.270346
1,2,10,,1.0,0.75,105522551.54044001,217137632.69238466
1,2,10,,1.0,1.0,107817069.98816003,226525162.34322047
1,2,10,5,0.25,0.25,109483102.26101334,233786402.02572337
1,2,10,5,0.25,0.5,102373041.76272,223391829.90340385
1,2,10,5,0.25,0.75,105264686.5663733,231068622.1541579
1,2,10,5,0.25,1.0,87900770.21890666,197344440.2634946
1,2,10,5,0.5,0.25,74997172.12764443,176990432.12215033
1,2,10,5,0.5,0.5,99531899.35474668,205650825.02555564
1,2,10,5,0.5,0.75,94583307.04450668,198014904.7327493
1,2,10,5,0.5,1.0,88009827.50578001,197811771.92677525
1,2,10,5,0.75,0.25,96819078.19488001,220920132.93442488
1,2,10,5,0.75,0.5,91671683.02540666,203794550.43283424
1,2,10,5,0.75,0.75,89709509.08635998,209096054.0263098
1,2,10,5,0.75,1.0,102543781.21708111,231573285.29841417
1,2,10,5,1.0,0.25,88510226.7250089,189119137.14561713
1,2,10,5,1.0,0.5,103214330.23348331,226101691.45456296
1,2,10,5,1.0,0.75,98254809.026336,198501377.3082512
1,2,10,5,1.0,1.0,89571474.95050268,220347082.8052315
1,2,10,10,0.25,0.25,99879875.11822666,220670196.87859246
1,2,10,10,0.25,0.5,85515218.55094667,190749457.72020134
1,2,10,10,0.25,0.75,89798583.41154665,185431555.46810755
1,2,10,10,0.25,1.0,84959347.64884,191392282.3186363
1,2,10,10,0.5,0.25,95812865.75022663,198816019.70043012
