run,iteration,n_neighbors,mae,rmse
1,2,1,129467023.06622219,275887190.82536745
1,2,2,116087670.48166664,220572125.00398973
1,2,3,104795363.59888887,207615163.6429579
1,2,4,107413695.11011112,203043466.1066124
1,2,5,106106789.09942226,206169289.52704108
1,3,1,249217570.95288888,453615778.1636141
1,3,2,259405910.34622225,476707589.8747005
1,3,3,269515661.57837033,484851161.1295286
1,3,4,269419451.6859444,496583061.35551596
1,3,5,273359168.0842667,504670255.9379683
1,4,1,90896755.29022223,208161371.90072134
1,4,2,116204500.3291111,243602842.956893
1,4,3,113021012.11118521,237314542.97411144
1,4,4,109179728.91088891,220583584.55615562
1,4,5,126467394.74435556,238299682.97291204
1,5,1,99479353.41911113,206177990.88677204
1,5,2,102207895.71100001,205311016.0082839
1,5,3,101694033.68881482,198291899.24097425
1,5,4,95934101.83366667,182380240.2573438
1,5,5,89991029.53875555,180197158.5842448
2,2,1,129467023.06622219,275887190.82536745
2,2,2,116087670.48166664,220572125.00398973
2,2,3,104795363.59888887,207615163.6429579
2,2,4,107413695.11011112,203043466.1066124
2,2,5,106106789.09942226,206169289.52704108
2,3,1,249217570.95288888,453615778.1636141
2,3,2,259405910.34622225,476707589.8747005
2,3,3,269515661.57837033,484851161.1295286
2,3,4,269419451.6859444,496583061.35551596
2,3,5,273359168.0842667,504670255.9379683
2,4,1,90896755.29022223,208161371.90072134
2,4,2,116204500.3291111,243602842.956893
2,4,3,113021012.11118521,237314542.97411144
2,4,4,109179728.91088891,220583584.55615562
2,4,5,126467394.74435556,238299682.97291204
2,5,1,99479353.41911113,206177990.88677204
2,5,2,102207895.71100001,205311016.0082839
2,5,3,101694033.68881482,198291899.24097425
2,5,4,95934101.83366667,182380240.2573438
2,5,5,89991029.53875555,180197158.5842448
3,2,1,129467023.06622219,275887190.82536745
3,2,2,116087670.48166664,220572125.00398973
3,2,3,104795363.59888887,207615163.6429579
3,2,4,107413695.11011112,203043466.1066124
3,2,5,106106789.09942226,206169289.52704108
3,3,1,249217570.95288888,453615778.1636141
3,3,2,259405910.34622225,476707589.8747005
3,3,3,269515661.57837033,484851161.1295286
3,3,4,269419451.6859444,496583061.35551596
3,3,5,273359168.0842667,504670255.9379683
3,4,1,90896755.29022223,208161371.90072134
3,4,2,116204500.3291111,243602842.956893
3,4,3,113021012.11118521,237314542.97411144
3,4,4,109179728.91088891,220583584.55615562
3,4,5,126467394.74435556,238299682.97291204
3,5,1,99479353.41911113,206177990.88677204
3,5,2,102207895.71100001,205311016.0082839
3,5,3,101694033.68881482,198291899.24097425
3,5,4,95934101.83366667,182380240.2573438
3,5,5,89991029.53875555,180197158.5842448
4,2,1,129467023.06622219,275887190.82536745
4,2,2,116087670.48166664,220572125.00398973
4,2,3,104795363.59888887,207615163.6429579
4,2,4,107413695.11011112,203043466.1066124
4,2,5,106106789.09942226,206169289.52704108
4,3,1,249217570.95288888,453615778.1636141
4,3,2,259405910.34622225,476707589.8747005
4,3,3,269515661.57837033,484851161.1295286
4,3,4,269419451.6859444,496583061.35551596
4,3,5,273359168.0842667,504670255.9379683
4,4,1,90896755.29022223,208161371.90072134
4,4,2,116204500.3291111,243602842.956893
4,4,3,113021012.11118521,237314542.97411144
4,4,4,109179728.91088891,220583584.55615562
4,4,5,126467394.74435556,238299682.97291204
4,5,1,99479353.41911113,206177990.88677204
4,5,2,102207895.71100001,205311016.0082839
4,5,3,101694033.68881482,198291899.24097425
4,5,4,95934101.83366667,182380240.2573438
4,5,5,89991029.53875555,180197158.5842448
5,2,1,129467023.06622219,275887190.82536745
5,2,2,116087670.48166664,220572125.00398973
5,2,3,104795363.59888887,207615163.6429579
5,2,4,107413695.11011112,203043466.1066124
5,2,5,106106789.09942226,206169289.52704108
