run,iteration,hidden_layer_size_layer_1,hidden_layer_size_layer_2,activation,learning_rate,l2_regularization,mae,rmse
1,2,10,,logistic,0.0001,1e-05,233734919.48928002,343083277.6136492
1,2,10,,logistic,0.0001,0.0001,233734919.14750186,343083277.58825344
1,2,10,,logistic,0.001,1e-05,233734912.09995684,343083271.45629144
1,2,10,,logistic,0.001,0.0001,233734911.99911904,343083271.82933694
1,2,10,,logistic,0.01,1e-05,233734841.32193255,343083216.9968584
1,2,10,,logistic,0.01,0.0001,233734822.21371666,343083202.7486229
1,2,10,,relu,0.0001,1e-05,233734917.4300358,343083269.3910483
1,2,10,,relu,0.0001,0.0001,233734908.88343146,343083270.0569191
1,2,10,,relu,0.001,1e-05,233734347.02675128,343082807.1927472
1,2,10,,relu,0.001,0.0001,233734153.666622,343082708.81595516
1,2,10,,relu,0.01,1e-05,233620050.8178074,342992419.4437493
1,2,10,,relu,0.01,0.0001,233663132.10696664,343026490.6691911
1,2,10,,tanh,0.0001,1e-05,233734918.88169196,343083276.3056257
1,2,10,,tanh,0.0001,0.0001,233734918.000446,343083275.9831934
1,2,10,,tanh,0.001,1e-05,233734909.86648926,343083268.9833641
1,2,10,,tanh,0.001,0.0001,233734908.62167147,343083269.70858836
1,2,10,,tanh,0.01,1e-05,233734823.59125054,343083202.9321577
1,2,10,,tanh,0.01,0.0001,233734822.9201398,343083202.4890608
1,2,10,10,logistic,0.0001,1e-05,233734919.42001376,343083277.68294793
1,2,10,10,logistic,0.0001,0.0001,233734919.37816083,343083277.340753
1,2,10,10,logistic,0.001,1e-05,233734909.29120788,343083270.1031677
1,2,10,10,logistic,0.001,0.0001,233734909.5641576,343083270.5071974
1,2,10,10,logistic,0.01,1e-05,233734819.80292702,343083200.7658206
1,2,10,10,logistic,0.01,0.0001,233734818.93569064,343083200.1375929
1,2,10,10,relu,0.0001,1e-05,233734912.054587,343083271.8073965
1,2,10,10,relu,0.0001,0.0001,233734906.59310207,343083261.4228897
1,2,10,10,relu,0.001,1e-05,233729850.85693836,343079215.3251961
1,2,10,10,relu,0.001,0.0001,233715098.23733512,343067434.7021822
1,2,10,10,relu,0.01,1e-05,223333733.5561112,334869868.85869217
